ExpenseID,PropertyID,ExpenseType,Amount,Date
1,1,Maintenance,100000,28/01/2023
2,3,Maintenance,300000,20/01/2023
3,4,Maintenance,250000,11/01/2023
4,5,Renovation,50000,09/10/2023
5,6,Maintenance,250000,25/05/2023
6,7,Renovation,200000,11/05/2023
7,9,Property Taxes,100000,06/12/2023
8,10,Renovation,250000,13/02/2023
9,11,Maintenance,300000,16/01/2023
10,12,Renovation,50000,07/08/2023
11,13,Property Taxes,150000,21/09/2023
12,14,Property Taxes,300000,25/03/2023
13,15,Property Taxes,250000,29/07/2023
14,17,Renovation,150000,11/11/2023
15,18,Maintenance,250000,09/02/2023
16,19,Maintenance,200000,24/09/2023
17,20,Renovation,150000,04/04/2023
18,21,Maintenance,100000,09/04/2023
19,22,Maintenance,300000,23/02/2023
20,23,Renovation,50000,03/02/2023
21,25,Property Taxes,100000,09/10/2023
22,27,Maintenance,250000,29/08/2023
23,28,Property Taxes,250000,16/12/2023
24,29,Maintenance,100000,26/06/2023
25,30,Property Taxes,250000,18/11/2023
26,32,Property Taxes,200000,16/12/2023
27,33,Maintenance,50000,20/11/2023
28,34,Maintenance,300000,28/05/2023
29,35,Renovation,200000,22/11/2023
30,36,Maintenance,150000,19/12/2023
31,37,Maintenance,50000,12/10/2023
32,38,Renovation,50000,24/09/2023
33,39,Property Taxes,250000,31/10/2023
34,40,Renovation,300000,21/09/2023
35,41,Property Taxes,150000,08/05/2023
36,42,Renovation,300000,11/02/2023
37,44,Maintenance,100000,14/04/2023
38,45,Maintenance,300000,05/11/2023
39,47,Property Taxes,150000,06/08/2023
40,48,Maintenance,100000,08/08/2023
41,49,Property Taxes,300000,16/05/2023
42,50,Renovation,300000,28/11/2023
43,51,Maintenance,150000,12/06/2023
44,52,Property Taxes,150000,24/01/2023
45,53,Renovation,100000,14/06/2023
46,54,Maintenance,200000,08/05/2023
47,56,Maintenance,250000,26/12/2023
48,57,Property Taxes,300000,06/03/2023
49,59,Maintenance,250000,31/10/2023
50,61,Property Taxes,250000,22/05/2023
51,62,Maintenance,100000,20/04/2023
52,63,Renovation,300000,23/02/2023
53,64,Maintenance,300000,27/05/2023
54,65,Property Taxes,250000,20/02/2023
55,66,Property Taxes,300000,11/11/2023
56,67,Property Taxes,300000,16/12/2023
57,68,Renovation,50000,16/06/2023
58,70,Maintenance,150000,13/04/2023
59,71,Maintenance,100000,24/04/2023
60,73,Maintenance,100000,28/02/2023
61,74,Property Taxes,50000,30/03/2023
62,75,Property Taxes,150000,22/09/2023
63,76,Maintenance,250000,08/08/2023
64,77,Property Taxes,100000,03/06/2023
65,78,Maintenance,100000,17/10/2023
66,79,Maintenance,100000,27/12/2023
67,80,Property Taxes,100000,07/12/2023
68,81,Maintenance,100000,25/05/2023
69,82,Property Taxes,100000,11/02/2023
70,85,Maintenance,50000,11/02/2023
71,87,Property Taxes,100000,14/02/2023
72,88,Property Taxes,200000,28/01/2023
73,91,Property Taxes,150000,15/08/2023
74,92,Maintenance,150000,19/12/2023
75,93,Maintenance,300000,22/09/2023
76,94,Renovation,250000,20/11/2023
77,96,Maintenance,300000,20/10/2023
78,98,Maintenance,100000,30/12/2023
79,99,Maintenance,300000,09/10/2023
80,100,Renovation,100000,09/04/2023
81,101,Renovation,50000,14/04/2023
82,102,Maintenance,200000,15/06/2023
83,103,Maintenance,150000,10/07/2023
84,104,Property Taxes,150000,02/12/2023
85,105,Maintenance,250000,22/09/2023
86,106,Property Taxes,100000,28/05/2023
87,108,Maintenance,50000,02/11/2023
88,109,Property Taxes,250000,03/06/2023
89,111,Renovation,250000,22/12/2023
